Account Type,Account Group,Account Number,Category,Location ,Year,Collection,tax
VAT,500,50021,Asia,India,2022,"97,841",17611.38
VAT,500,50021,Asia,UAE,2018,"27,652",4977.36
VAT,500,50021,Asia,India,2019,"83,770",15078.6
VAT,500,50021,Asia,UAE,2022,"49,229",8861.22
VAT,500,50021,Asia,India,2018,"17,539",3157.02
VAT,500,50021,Asia,UAE,2019,"57,948",10430.64
VAT,500,50021,Asia,UAE,2022,"89,787",16161.66
VAT,500,50021,Asia,India,2021,"93,969",16914.42
VAT,500,50021,Asia,India,2022,"36,708",6607.44
VAT,500,50021,Asia,UAE,2018,"32,673",5881.14
VAT,500,50021,Asia,Qatar,2022,"48,954",8811.72
VAT,500,50021,Asia,Singapore,2022,"43,489",7828.02
VAT,500,50021,Asia,UAE,2022,"40,328",7259.04
VAT,500,50021,Asia,UAE,2019,"84,075",15133.5
VAT,500,50021,Asia,India,2022,"84,907",15283.26
VAT,500,50021,Asia,Kuwait,2022,"41,195",7415.1
VAT,500,50021,Asia,UAE,2019,"96,501",17370.18
VAT,500,50021,Asia,UAE,2020,"41,708",7507.44
VAT,500,50021,Asia,UAE,2018,"88,563",15941.34
VAT,500,50021,Asia,Singapore,2022,"44,461",8002.98
VAT,500,50021,Asia,Singapore,2022,"28,009",5041.62
VAT,500,50021,Asia,India,2022,"46,708",8407.44
VAT,500,50021,Asia,Kuwait,2022,"12,040",2167.2
VAT,500,50021,Asia,India,2022,"64,746",11654.28
VAT,500,50021,Asia,India,2020,"72,896",13121.28
VAT,500,50021,Asia,India,2022,"15,486",2787.48
VAT,500,50021,Asia,UAE,2021,"97,821",17607.78
VAT,500,50021,Asia,UAE,2022,"25,860",4654.8
VAT,500,50021,Asia,UAE,2021,"66,744",12013.92
VAT,500,50021,Asia,UAE,2022,"75,771",13638.78
VAT,500,50021,Asia,Singapore,2022,"75,744",13633.92
VAT,500,50021,Asia,UAE,2022,"58,587",10545.66
VAT,500,50021,Asia,India,2022,"47,812",8606.16
VAT,500,50021,Asia,Kuwait,2022,"73,520",13233.6
VAT,500,50021,Asia,India,2018,"77,880",14018.4
VAT,500,50021,Asia,Singapore,2022,"23,311",4195.98
VAT,500,50021,Asia,UAE,2022,"34,663",6239.34
VAT,500,50021,Asia,Qatar,2022,"51,945",9350.1
VAT,500,50021,Asia,India,2019,"92,754",16695.72
VAT,500,50021,Asia,India,2019,"54,746",9854.28
VAT,500,50021,Asia,India,2022,"31,583",5684.94
VAT,500,50021,Asia,India,2022,"30,134",5424.12
VAT,500,50021,Asia,India,2020,"57,906",10423.08
VAT,500,50021,Asia,Kuwait,2022,"18,932",3407.76
VAT,500,50021,Asia,Singapore,2020,"37,085",6675.3
VAT,500,50021,Asia,UAE,2022,"28,282",5090.76
VAT,500,50021,Asia,UAE,2022,"46,338",8340.84
VAT,500,50021,Asia,India,2022,"21,146",3806.28
VAT,500,50021,Asia,UAE,2019,"38,229",6881.22
VAT,500,50021,Asia,India,2022,"75,218",13539.24
VAT,500,50021,Asia,India,2018,"67,790",12202.2
VAT,500,50021,Asia,India,2021,"12,220",2199.6
VAT,500,50021,Asia,UAE,2021,"20,943",3769.74
VAT,500,50021,Asia,Singapore,2022,"24,943",4489.74
VAT,500,50021,Asia,Kuwait,2022,"90,271",16248.78
VAT,500,50021,Asia,India,2022,"30,181",5432.58
VAT,500,50021,Asia,Kuwait,2021,"97,462",17543.16
VAT,500,50021,Asia,Kuwait,2022,"61,111",10999.98
VAT,500,50021,Asia,India,2022,"48,353",8703.54
VAT,500,50021,Asia,India,2022,"46,286",8331.48
VAT,500,50021,Asia,Kuwait,2021,"73,589",13246.02
VAT,500,50021,Asia,Kuwait,2022,"48,500",8730
VAT,500,50021,Asia,UAE,2018,"65,557",11800.26
VAT,500,50021,Asia,Qatar,2020,"70,736",12732.48
VAT,500,50021,Asia,India,2022,"68,669",12360.42
VAT,500,50021,Asia,India,2020,"54,488",9807.84
VAT,500,50021,Asia,Singapore,2022,"88,042",15847.56
VAT,500,50021,Asia,Kuwait,2022,"93,476",16825.68
VAT,500,50021,Asia,India,2022,"28,872",5196.96
VAT,500,50021,Asia,Qatar,2022,"72,109",12979.62
VAT,500,50021,Asia,UAE,2020,"56,453",10161.54
VAT,500,50021,Asia,Kuwait,2022,"58,156",10468.08
Corporate Tax,500,50022,Asia,UAE,2022,"95,251",23812.75
Corporate Tax,500,50022,Asia,India,2022,"43,366",10841.5
Corporate Tax,500,50022,Asia,India,2021,"29,307",7326.75
Corporate Tax,500,50022,Asia,India,2022,"98,877",24719.25
Corporate Tax,500,50022,Asia,India,2022,"44,936",11234
Corporate Tax,500,50022,Asia,UAE,2022,"39,463",9865.75
Corporate Tax,500,50022,Asia,India,2022,"84,610",21152.5
Corporate Tax,500,50022,Asia,India,2022,"78,057",19514.25
Corporate Tax,500,50022,Asia,Singapore,2022,"46,854",11713.5
Corporate Tax,500,50022,Asia,Qatar,2022,"32,235",8058.75
Corporate Tax,500,50022,Asia,UAE,2022,"68,440",17110
Corporate Tax,500,50022,Asia,Qatar,2018,"83,868",20967
Corporate Tax,500,50022,Asia,India,2022,"14,509",3627.25
Corporate Tax,500,50022,Asia,Singapore,2022,"58,803",14700.75
Corporate Tax,500,50022,Asia,India,2022,"11,252",2813
Corporate Tax,500,50022,Asia,India,2020,"67,652",16913
Corporate Tax,500,50022,Asia,UAE,2022,"78,615",19653.75
Corporate Tax,500,50022,Asia,Qatar,2022,"39,923",9980.75
Corporate Tax,500,50022,Asia,India,2018,"21,521",5380.25
Corporate Tax,500,50022,Asia,India,2018,"34,719",8679.75
Corporate Tax,500,50022,Asia,UAE,2022,"21,940",5485
Corporate Tax,500,50022,Asia,Kuwait,2022,"64,512",16128
Corporate Tax,500,50022,Asia,India,2022,"28,560",7140
Corporate Tax,500,50022,Asia,UAE,2022,"50,961",12740.25
Corporate Tax,500,50022,Asia,India,2019,"19,825",4956.25
Corporate Tax,500,50022,Asia,UAE,2020,"97,855",24463.75
Corporate Tax,500,50022,Asia,India,2020,"53,928",13482
Corporate Tax,500,50022,Asia,Kuwait,2020,"61,045",15261.25
Corporate Tax,500,50022,Asia,India,2022,"53,225",13306.25
Corporate Tax,500,50022,Asia,India,2019,"73,339",18334.75
Corporate Tax,500,50022,Asia,India,2022,"69,657",17414.25
Corporate Tax,500,50022,Asia,India,2022,"41,703",10425.75
Corporate Tax,500,50022,Asia,Kuwait,2019,"21,619",5404.75
Corporate Tax,500,50022,Asia,UAE,2018,"75,114",18778.5
Corporate Tax,500,50022,Asia,India,2022,"82,884",20721
Corporate Tax,500,50022,Asia,Kuwait,2021,"68,211",17052.75
Corporate Tax,500,50022,Asia,India,2022,"59,447",14861.75
Corporate Tax,500,50022,Asia,India,2022,"61,555",15388.75
Corporate Tax,500,50022,Asia,UAE,2019,"20,449",5112.25
Corporate Tax,500,50022,Asia,UAE,2021,"37,089",9272.25
Corporate Tax,500,50022,Asia,India,2022,"45,748",11437
Corporate Tax,500,50022,Asia,Kuwait,2022,"52,621",13155.25
Corporate Tax,500,50022,Asia,India,2021,"77,015",19253.75
Corporate Tax,500,50022,Asia,UAE,2021,"74,968",18742
Corporate Tax,500,50022,Asia,India,2022,"35,151",8787.75
Corporate Tax,500,50022,Asia,Singapore,2018,"43,973",10993.25
Corporate Tax,500,50022,Asia,Kuwait,2022,"76,775",19193.75
Corporate Tax,500,50022,Asia,India,2022,"76,195",19048.75
Corporate Tax,500,50022,Asia,India,2022,"30,700",7675
Corporate Tax,500,50022,Asia,Qatar,2021,"10,915",2728.75
Corporate Tax,500,50022,Asia,India,2022,"39,553",9888.25
Corporate Tax,500,50022,Asia,India,2022,"53,078",13269.5
Corporate Tax,500,50022,Asia,India,2022,"82,403",20600.75
Corporate Tax,500,50022,Asia,Kuwait,2022,"52,170",13042.5
Corporate Tax,500,50022,Asia,India,2022,"14,395",3598.75
Corporate Tax,500,50022,Asia,UAE,2020,"47,376",11844
Corporate Tax,500,50022,Asia,Singapore,2019,"95,432",23858
Corporate Tax,500,50022,Asia,Kuwait,2020,"42,224",10556
Corporate Tax,500,50022,Asia,India,2022,"52,984",13246
Corporate Tax,500,50022,Asia,India,2022,"11,203",2800.75
Corporate Tax,500,50022,Asia,India,2020,"22,640",5660
Corporate Tax,500,50022,Asia,UAE,2022,"73,998",18499.5
Corporate Tax,500,50022,Asia,Qatar,2021,"97,060",24265
Corporate Tax,500,50022,Asia,Singapore,2018,"46,860",11715
Corporate Tax,500,50022,Asia,Qatar,2022,"94,373",23593.25
Corporate Tax,500,50022,Asia,India,2022,"94,249",23562.25
Corporate Tax,500,50022,Asia,India,2022,"22,748",5687
Corporate Tax,500,50022,Asia,Kuwait,2022,"38,830",9707.5
Corporate Tax,500,50022,Asia,UAE,2019,"20,739",5184.75
Corporate Tax,500,50022,Asia,India,2018,"89,640",22410
Corporate Tax,500,50022,Asia,UAE,2019,"28,073",7018.25
Corporate Tax,500,50022,Asia,India,2022,"13,836",3459
VAT,600,60041,North America,USA,2022,"26,722",5344.4
VAT,600,60041,Australia,Australia,2022,"28,432",5686.4
VAT,600,60041,North America,USA,2018,"20,460",4092
VAT,600,60041,North America,Canada,2022,"30,792",6158.4
VAT,600,60041,North America,USA,2022,"88,399",17679.8
VAT,600,60041,Europe,Germany,2021,"72,374",14474.8
VAT,600,60041,Australia,Australia,2022,"51,848",10369.6
VAT,600,60041,North America,USA,2022,"26,720",5344
VAT,600,60041,Europe,Germany,2020,"53,719",10743.8
VAT,600,60041,Australia,Australia,2022,"19,444",3888.8
VAT,600,60041,North America,USA,2019,"756,000",151200
Corporate Tax,600,60042,Australia,Australia,2018,"97,487",24371.75
Corporate Tax,600,60042,Europe,Germany,2022,"47,470",11867.5
Corporate Tax,600,60042,North America,USA,2022,"92,379",23094.75
Corporate Tax,600,60042,Australia,Australia,2019,"600,356",150089
Corporate Tax,600,60042,North America,Canada,2022,"26,662",6665.5
Corporate Tax,600,60042,North America,USA,2022,"48,461",12115.25
Corporate Tax,600,60042,North America,USA,2020,"24,574",6143.5
Corporate Tax,600,60042,North America,Canada,2022,"45,276",11319
Corporate Tax,600,60042,North America,USA,2021,"23,736",5934
Corporate Tax,600,60042,North America,USA,2022,"36,999",9249.75